1, 1.5Mビット／秒の伝送路を用いて12Mバイトのデータを転送するために必要な伝送時間は何秒か。ここで，伝送路の伝送効率を50%とする。,16,32,64,128,4,1, まず回線利用率は50%なので1秒間に転送できるデータ量は0.75Mビットです。送信データ量である12Mバイトをビット単位に変換すると、12×8＝96M(ビット)よって、転送にかかる時間は、96÷0.75＝128(秒)となります。
2, 文字データ、数値データをコンマで区切り、レコード間は改行で区切って記録する。文字データは引用符でくくることもある。この説明のデータ形式は何か。,html,java,csv,txt,3,1, CSV(Comma-Separated Values)は、各項目値をコンマで区切って記述するデータ形式で、各行が各レコードに対応しています。項目値のデータがコンマを含む場合は、区切り文字のコンマと区別するために項目値を引用符で囲むことで対応します。
3, 適当な基準値を選び，それより小さな値のグループと大きな値のグループにデータを分割する。同様にして，グループの中で基準値を選び，それぞれのグループを分割する。この操作を繰り返していく。この説明に合う整列アルゴリズムはなにか。,バブルソート,クイックソート,マージソート,ヒープソート,2,1, クイックソートは適当な基準値を選び，それより小さな値のグループと大きな値のグループにデータを分割する。同様にして，グループの中で基準値を選び，それぞれのグループを分割する。この操作を繰り返していく方法である。よって、クイックソートが正解である。
4, 選択肢の中で、javaの特徴として正しいものはどれか,ガベージコレクション,多重継承,ポインタ,スクリプト言語,1,1, javaは多重継承やポインタがサポートされてません。また、javaはコンパイル言語です。しかし、プログラムが動的に確保したメモリ領域のうち、不要になった部分を自動的に解放して、再び使用可能にする機能であるガベージコレクションを持ちます。
5, 仮想記憶システムにおいて主記憶の容量が十分でない場合，プログラムの多重度を増加させるとシステムのオーバヘッドが増加し，アプリケーションのプロセッサ使用率が減少する状態を表すものはどれか。,ボトルネック,フラグメンテーション,ページング,スラッシング,4,1, 仮想記憶システムにおいて主記憶の容量が十分でない場合にプログラムの多重度が増加すると、ページング処理が多発します。このようにシステムのオーバヘッドが増加したことによりアプリケーションのCPU使用率が減少し、処理速度が遅くなる状態をスラッシング(Thrashing)といいます。
6, コンデンサに蓄えた電荷の有無で情報を記憶するメモリはどれか。,EEPROM,SDRAM,SRAM,フラッシュメモリ,2,1, DRAM(Dynamic Random Access Memory)は、コンデンサに電荷を蓄えることにより情報を記憶し、電源供給が無くなると記憶情報も失われる揮発性メモリです。SDRAM(Synchronous DRAM)は、同期式のDRAMで、現在、PCの主記憶として一般的に使用されているタイプです。
7, 業務プロセスのモデリング表記法として用いられ，複数のモデル図法を体系化したものはどれか。,DFD,E-R図,UML,状態遷移図,3,2, UML(Unified Modeling Language)は、オブジェクト指向開発で用いられる標準表記法群で、UML2.0ではオブジェクト間の関連や動作・構成を表現する13種の図表から構成されています。UML2.0の13の図法は表現する対象によって構造図、振る舞い図に分類されます。
8, システム管理基準において、情報システムの費用、スケジュール、開発体制、投資効果などを明確にする計画はどれか,移行計画,開発計画,全体最適化計画,年間運用計画,2,2, システム管理基準は、経済産業省が 平成16年に策定した基準で、情報戦略を立案し，効果的な情報システム投資とリスクを低減するためのコントロールを適切に整備・運用するための287事項をとりまとめたものです。この文書内に、開発計画は、目的、対象業務、費用、スケジュール、開発体制、投資効果等を明確にすることという定義がされています。
9, プロジェクトのリスクに対応する戦略として、損害発生時のリスクに備え、損害賠償保険に加入することにした。PMBOKによれば、該当する戦略はどれか,回避,軽減,受容,転嫁,4,3, PMBOKにおいて、プロジェクトにマイナスの影響を与えるリスク(脅威)への対応戦略には「回避」「転嫁」「軽減」「受容」があります。損害保険をかけることは、金銭的リスクを他社に移転することになるため「転嫁(てんか)」の戦略に該当します。
10, システム管理基準に基づいて、システムの信頼性、安全性、効率性を監査する際に、システムが不正な使用から保護されているかどうかという安全性の検証項目として、最も適切なものはどれか。,アクセス管理,フェールソフト,フォールトトレラント,リカバリ,1,3, システムの安全性とは「情報システムの自然災害、不正アクセス及び破壊行為からの保護の度合」を表します。不正アクセスから組織の情報資産を守るには、正当な権限をもつ者にのみ情報資産の利用を許可する仕組みが必要となります。これを実現するのがアクセス制御・管理機能で、この機能が適切に設計され、運用が行われていることを検証することでシステムの安全性を確認します。したがって検証項目としては「アクセス管理機能の検証」が適切です。
